OBJECTID,SA1_CODE,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040
62,10201103112,45,47,48,54,51,50,44,47,54,45,44
63,10201103113,19,22,26,31,26,24,20,22,24,22,19
64,10201103114,8,9,10,10,8,8,7,7,7,6,6
160,10201103501,31,36,40,45,39,31,28,33,35,31,30
161,10201103502,12,14,14,16,14,12,12,14,15,15,13
164,10201103505,20,21,23,23,19,17,16,19,19,17,16
165,10201103506,19,20,23,24,24,20,16,16,18,15,14
166,10201103507,10,11,11,12,11,10,8,8,10,9,8
167,10201103508,27,29,31,32,29,28,24,26,30,27,26
168,10201103509,15,16,17,17,15,14,13,15,15,13,12
169,10201103510,12,13,12,12,12,15,15,15,15,12,12
170,10201103511,8,9,11,13,10,9,9,10,11,9,8
171,10201103512,46,47,48,49,42,36,34,39,44,41,41
173,10201103514,50,50,57,57,51,51,44,48,49,41,36
174,10201103515,38,45,46,51,44,40,35,39,45,40,33
175,10201103516,40,41,49,49,43,37,35,41,46,41,41
176,10201103517,43,49,58,66,65,57,53,56,65,53,48
183,10201103607,34,40,43,49,42,38,33,39,43,38,33
185,10201103609,6,7,7,8,7,6,5,5,6,5,4
193,10201103617,32,32,38,45,42,38,34,37,43,41,39
377,10201104301,5,5,5,5,5,5,5,5,5,5,5
378,10201104302,28,33,36,39,33,29,27,30,35,32,30
379,10201104303,21,23,27,31,30,29,24,25,29,28,28
380,10201104304,45,45,50,51,49,41,37,39,46,44,40
381,10201104305,9,11,13,15,13,11,9,10,11,11,11
383,10201104307,5,5,6,7,6,5,5,5,5,5,5
385,10201104309,6,6,6,8,7,6,5,5,5,5,4
386,10201104310,42,46,48,56,53,45,42,47,49,42,40
388,10201104312,12,13,16,18,17,16,14,14,16,15,12
389,10201104313,39,39,40,42,37,34,28,29,35,34,34
390,10201104314,48,54,54,64,64,64,61,63,66,63,63
391,10201104315,35,39,42,49,46,45,42,45,51,49,40
392,10201104316,32,34,40,40,33,27,22,26,29,28,25
393,10201104317,14,15,18,21,21,18,15,17,19,18,15
394,10201104318,40,44,49,56,46,38,33,35,39,37,31
395,10201104319,25,29,33,33,31,30,24,25,30,26,23
396,10201104320,45,47,47,53,44,38,32,34,39,32,32
397,10201104321,45,52,61,71,71,66,54,61,63,54,49
398,10201104322,2,2,2,3,2,2,2,2,2,2,2
399,10201104323,44,49,58,68,54,47,44,49,51,43,41
400,10201104324,44,46,51,58,57,55,47,52,58,51,49
401,10201104325,4,4,5,5,5,5,4,4,5,4,4
402,10201104326,4,4,4,5,4,3,3,3,3,3,3
403,10201104327,5,5,6,7,6,5,4,5,5,5,5
404,10201104328,25,27,30,33,29,24,22,24,27,22,21
405,10201104329,21,21,22,26,23,22,20,22,24,23,21
406,10201104330,32,37,41,48,40,40,36,40,41,37,31
466,10202104703,19,19,20,22,21,17,14,15,15,14,12
492,10202105116,27,28,29,29,27,23,19,21,24,20,16
100062,,1,1,1,1,1,1,1,1,1,1,1
100063,,1,1,1,1,1,1,1,1,1,1,1
100064,,1,1,1,1,1,1,1,1,1,1,1
1000160,,1,1,1,1,1,1,1,1,1,1,1
1000161,,1,1,1,1,1,1,1,1,1,1,1
1000164,,1,1,1,1,1,1,1,1,1,1,1
1000165,,1,1,1,1,1,1,1,1,1,1,1
1000166,,1,1,1,1,1,1,1,1,1,1,1
1000167,,1,1,1,1,1,1,1,1,1,1,1
1000168,,1,1,1,1,1,1,1,1,1,1,1
1000169,,1,1,1,1,1,1,1,1,1,1,1
1000170,,1,1,1,1,1,1,1,1,1,1,1
1000171,,1,1,1,1,1,1,1,1,1,1,1
1000173,,1,1,1,1,1,1,1,1,1,1,1
1000174,,1,1,1,1,1,1,1,1,1,1,1
1000175,,1,1,1,1,1,1,1,1,1,1,1
1000176,,1,1,1,1,1,1,1,1,1,1,1
1000183,,1,1,1,1,1,1,1,1,1,1,1
1000185,,1,1,1,1,1,1,1,1,1,1,1
1000193,,1,1,1,1,1,1,1,1,1,1,1
1000377,,1,1,1,1,1,1,1,1,1,1,1
1000378,,1,1,1,1,1,1,1,1,1,1,1
1000379,,1,1,1,1,1,1,1,1,1,1,1
1000380,,1,1,1,1,1,1,1,1,1,1,1
1000381,,1,1,1,1,1,1,1,1,1,1,1
1000383,,1,1,1,1,1,1,1,1,1,1,1
1000385,,1,1,1,1,1,1,1,1,1,1,1
1000386,,1,1,1,1,1,1,1,1,1,1,1
1000388,,1,1,1,1,1,1,1,1,1,1,1
1000389,,1,1,1,1,1,1,1,1,1,1,1
1000390,,1,1,1,1,1,1,1,1,1,1,1
1000391,,1,1,1,1,1,1,1,1,1,1,1
1000392,,1,1,1,1,1,1,1,1,1,1,1
1000393,,1,1,1,1,1,1,1,1,1,1,1
1000394,,1,1,1,1,1,1,1,1,1,1,1
1000395,,1,1,1,1,1,1,1,1,1,1,1
1000396,,1,1,1,1,1,1,1,1,1,1,1
1000397,,1,1,1,1,1,1,1,1,1,1,1
1000398,,1,1,1,1,1,1,1,1,1,1,1
1000399,,1,1,1,1,1,1,1,1,1,1,1
1000400,,1,1,1,1,1,1,1,1,1,1,1
1000401,,1,1,1,1,1,1,1,1,1,1,1
1000402,,1,1,1,1,1,1,1,1,1,1,1
1000403,,1,1,1,1,1,1,1,1,1,1,1
1000404,,1,1,1,1,1,1,1,1,1,1,1
1000405,,1,1,1,1,1,1,1,1,1,1,1
1000406,,1,1,1,1,1,1,1,1,1,1,1
1000466,,1,1,1,1,1,1,1,1,1,1,1
1000492,,1,1,1,1,1,1,1,1,1,1,1
1000493,,1,1,1,1,1,1,1,1,1,1,1
1000494,,1,1,1,1,1,1,1,1,1,1,1
1000495,,1,1,1,1,1,1,1,1,1,1,1
1000496,,1,1,1,1,1,1,1,1,1,1,1
1000497,,1,1,1,1,1,1,1,1,1,1,1
200062,,2,2,2,2,2,2,2,2,2,2,2
200063,,2,2,2,2,2,2,2,2,2,2,2
200064,,2,2,2,2,2,2,2,2,2,2,2
