OBJECTID,SA1_CODE,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040
62,10201103112,80,88,100,116,176,236,324,348,440,572,692
63,10201103113,312,400,412,420,488,544,668,944,956,1228,1796
64,10201103114,136,204,272,384,568,684,856,1084,1456,1852,1992
160,10201103501,356,376,556,644,852,924,1044,1380,1992,2664,3224
161,10201103502,112,168,188,276,340,464,596,660,804,1188,1328
164,10201103505,300,388,456,460,484,500,744,876,1128,1400,1728
165,10201103506,388,448,592,600,608,900,972,1116,1656,1836,2248
166,10201103507,184,240,308,396,512,692,752,924,1176,1256,1268
167,10201103508,188,256,316,448,604,748,956,1108,1508,2200,2268
168,10201103509,164,168,220,276,376,472,592,660,768,1036,1552
169,10201103510,176,232,328,412,492,680,828,888,1332,1408,1896
170,10201103511,252,312,456,556,720,988,1384,1956,2124,2232,2368
171,10201103512,56,68,104,144,204,268,300,404,584,824,1200
173,10201103514,156,196,204,292,404,604,616,728,1048,1440,1612
174,10201103515,168,184,232,304,312,324,384,504,656,812,1156
175,10201103516,60,72,108,156,232,256,364,496,652,796,976
176,10201103517,72,76,76,92,124,176,184,272,352,392,588
183,10201103607,96,140,164,192,200,244,316,356,524,784,860
185,10201103609,168,228,328,344,496,656,888,1012,1468,1512,1608
193,10201103617,140,180,272,312,416,536,720,892,1156,1172,1560
377,10201104301,40,52,68,76,112,120,160,228,304,332,492
378,10201104302,100,120,124,172,240,340,376,500,684,1024,1428
379,10201104303,240,264,356,364,464,608,632,752,1076,1576,2004
380,10201104304,336,340,400,420,432,452,628,768,1156,1632,1700
381,10201104305,100,148,204,296,388,524,772,888,996,1296,1400
383,10201104307,72,92,104,132,180,268,364,440,588,836,1044
385,10201104309,128,192,232,344,460,640,692,736,936,1096,1436
386,10201104310,148,172,176,256,268,308,448,580,600,644,848
388,10201104312,284,292,428,616,728,864,1220,1552,1804,2392,2784
389,10201104313,160,176,204,256,344,480,716,960,1144,1260,1460
390,10201104314,64,76,88,128,160,200,292,328,452,564,844
391,10201104315,504,544,616,652,884,996,1108,1356,1400,1420,1636
392,10201104316,116,148,168,248,284,368,516,688,944,1188,1464
393,10201104317,176,216,308,452,496,724,892,964,1004,1472,1648
394,10201104318,108,148,220,248,324,384,572,644,764,1052,1532
395,10201104319,160,192,280,372,480,636,752,868,1092,1484,1732
396,10201104320,328,440,532,576,832,912,992,1124,1304,1668,1860
397,10201104321,132,172,240,316,440,632,804,1088,1296,1328,1912
398,10201104322,216,220,284,328,340,360,456,604,760,1028,1280
399,10201104323,232,260,336,432,512,528,700,996,1260,1408,1808
400,10201104324,372,388,460,572,860,876,924,1016,1432,1504,2044
401,10201104325,132,156,220,300,316,380,540,568,816,1172,1604
402,10201104326,296,308,312,400,560,600,828,928,1392,1708,2316
403,10201104327,156,220,308,360,424,608,852,908,1280,1528,1576
404,10201104328,132,148,164,248,364,392,572,820,840,920,1088
405,10201104329,184,236,260,332,452,544,640,684,696,844,1256
406,10201104330,192,288,424,588,732,836,1144,1444,1764,2464,2524
466,10202104703,200,216,240,244,260,288,292,420,596,848,880
492,10202105116,160,168,180,184,192,224,272,324,456,672,964
100062,,1,1,1,1,1,1,1,1,1,1,1
100063,,1,1,1,1,1,1,1,1,1,1,1
100064,,1,1,1,1,1,1,1,1,1,1,1
1000160,,1,1,1,1,1,1,1,1,1,1,1
1000161,,1,1,1,1,1,1,1,1,1,1,1
1000164,,1,1,1,1,1,1,1,1,1,1,1
1000165,,1,1,1,1,1,1,1,1,1,1,1
1000166,,1,1,1,1,1,1,1,1,1,1,1
1000167,,1,1,1,1,1,1,1,1,1,1,1
1000168,,1,1,1,1,1,1,1,1,1,1,1
1000169,,1,1,1,1,1,1,1,1,1,1,1
1000170,,1,1,1,1,1,1,1,1,1,1,1
1000171,,1,1,1,1,1,1,1,1,1,1,1
1000173,,1,1,1,1,1,1,1,1,1,1,1
1000174,,1,1,1,1,1,1,1,1,1,1,1
1000175,,1,1,1,1,1,1,1,1,1,1,1
1000176,,1,1,1,1,1,1,1,1,1,1,1
1000183,,1,1,1,1,1,1,1,1,1,1,1
1000185,,1,1,1,1,1,1,1,1,1,1,1
1000193,,1,1,1,1,1,1,1,1,1,1,1
1000377,,1,1,1,1,1,1,1,1,1,1,1
1000378,,1,1,1,1,1,1,1,1,1,1,1
1000379,,1,1,1,1,1,1,1,1,1,1,1
1000380,,1,1,1,1,1,1,1,1,1,1,1
1000381,,1,1,1,1,1,1,1,1,1,1,1
1000383,,1,1,1,1,1,1,1,1,1,1,1
1000385,,1,1,1,1,1,1,1,1,1,1,1
1000386,,1,1,1,1,1,1,1,1,1,1,1
1000388,,1,1,1,1,1,1,1,1,1,1,1
1000389,,1,1,1,1,1,1,1,1,1,1,1
1000390,,1,1,1,1,1,1,1,1,1,1,1
1000391,,1,1,1,1,1,1,1,1,1,1,1
1000392,,1,1,1,1,1,1,1,1,1,1,1
1000393,,1,1,1,1,1,1,1,1,1,1,1
1000394,,1,1,1,1,1,1,1,1,1,1,1
1000395,,1,1,1,1,1,1,1,1,1,1,1
1000396,,1,1,1,1,1,1,1,1,1,1,1
1000397,,1,1,1,1,1,1,1,1,1,1,1
1000398,,1,1,1,1,1,1,1,1,1,1,1
1000399,,1,1,1,1,1,1,1,1,1,1,1
1000400,,1,1,1,1,1,1,1,1,1,1,1
1000401,,1,1,1,1,1,1,1,1,1,1,1
1000402,,1,1,1,1,1,1,1,1,1,1,1
1000403,,1,1,1,1,1,1,1,1,1,1,1
1000404,,1,1,1,1,1,1,1,1,1,1,1
1000405,,1,1,1,1,1,1,1,1,1,1,1
1000406,,1,1,1,1,1,1,1,1,1,1,1
1000466,,1,1,1,1,1,1,1,1,1,1,1
1000492,,1,1,1,1,1,1,1,1,1,1,1
1000493,,1,1,1,1,1,1,1,1,1,1,1
1000494,,1,1,1,1,1,1,1,1,1,1,1
1000495,,1,1,1,1,1,1,1,1,1,1,1
1000496,,1,1,1,1,1,1,1,1,1,1,1
1000497,,1,1,1,1,1,1,1,1,1,1,1
200062,,2,2,2,2,2,2,2,2,2,2,2
200063,,2,2,2,2,2,2,2,2,2,2,2
200064,,2,2,2,2,2,2,2,2,2,2,2
2000160,,2,2,2,2,2,2,2,2,2,2,2
2000161,,2,2,2,2,2,2,2,2,2,2,2
2000164,,2,2,2,2,2,2,2,2,2,2,2
2000165,,2,2,2,2,2,2,2,2,2,2,2
2000166,,2,2,2,2,2,2,2,2,2,2,2
2000167,,2,2,2,2,2,2,2,2,2,2,2
2000168,,2,2,2,2,2,2,2,2,2,2,2
2000169,,2,2,2,2,2,2,2,2,2,2,2
2000170,,2,2,2,2,2,2,2,2,2,2,2
2000171,,2,2,2,2,2,2,2,2,2,2,2
2000173,,2,2,2,2,2,2,2,2,2,2,2
2000174,,2,2,2,2,2,2,2,2,2,2,2
2000175,,2,2,2,2,2,2,2,2,2,2,2
2000176,,2,2,2,2,2,2,2,2,2,2,2
2000183,,2,2,2,2,2,2,2,2,2,2,2
2000185,,2,2,2,2,2,2,2,2,2,2,2
2000193,,2,2,2,2,2,2,2,2,2,2,2
2000377,,2,2,2,2,2,2,2,2,2,2,2
2000378,,2,2,2,2,2,2,2,2,2,2,2
2000379,,2,2,2,2,2,2,2,2,2,2,2
2000380,,2,2,2,2,2,2,2,2,2,2,2
2000381,,2,2,2,2,2,2,2,2,2,2,2
2000383,,2,2,2,2,2,2,2,2,2,2,2
2000385,,2,2,2,2,2,2,2,2,2,2,2
2000386,,2,2,2,2,2,2,2,2,2,2,2
2000388,,2,2,2,2,2,2,2,2,2,2,2
2000389,,2,2,2,2,2,2,2,2,2,2,2
2000390,,2,2,2,2,2,2,2,2,2,2,2
2000391,,2,2,2,2,2,2,2,2,2,2,2
2000392,,2,2,2,2,2,2,2,2,2,2,2
2000393,,2,2,2,2,2,2,2,2,2,2,2
2000394,,2,2,2,2,2,2,2,2,2,2,2
2000395,,2,2,2,2,2,2,2,2,2,2,2
2000396,,2,2,2,2,2,2,2,2,2,2,2
2000397,,2,2,2,2,2,2,2,2,2,2,2
2000398,,2,2,2,2,2,2,2,2,2,2,2
2000399,,2,2,2,2,2,2,2,2,2,2,2
2000400,,2,2,2,2,2,2,2,2,2,2,2
2000401,,2,2,2,2,2,2,2,2,2,2,2
2000402,,2,2,2,2,2,2,2,2,2,2,2
2000403,,2,2,2,2,2,2,2,2,2,2,2
2000404,,2,2,2,2,2,2,2,2,2,2,2
2000405,,2,2,2,2,2,2,2,2,2,2,2
2000406,,2,2,2,2,2,2,2,2,2,2,2
2000466,,2,2,2,2,2,2,2,2,2,2,2
2000492,,2,2,2,2,2,2,2,2,2,2,2
3000167,,2,2,2,2,2,2,2,2,2,2,2
3000399,,2,2,2,2,2,2,2,2,2,2,2
3000185,,2,2,2,2,2,2,2,2,2,2,2
3000193,,2,2,2,2,2,2,2,2,2,2,2
3000492,,2,2,2,2,2,2,2,2,2,2,2
3000466,,2,2,2,2,2,2,2,2,2,2,2
4000467,,3,3,3,3,3,3,3,3,3,3,3
4000468,,3,3,3,3,3,3,3,3,3,3,3
4000469,,3,3,3,3,3,3,3,3,3,3,3
4000470,,3,3,3,3,3,3,3,3,3,3,3
4000471,,3,3,3,3,3,3,3,3,3,3,3
4000472,,3,3,3,3,3,3,3,3,3,3,3
4000473,,3,3,3,3,3,3,3,3,3,3,3
