OBJECTID,WKT,sa1_code_2021,state_name_2021,sa2_name_2021, Area_sq_km ,Narnia_name,Lat_test,long_test
62,"POLYGON ((151.432506708148 -33.3839207317195,151.431663007738 -33.3877710013684,151.431011997753 -33.3908031316277,151.430257977955 -33.3945180118607,151.430218018196 -33.3947060016364,151.426670028557 -33.3942030118995,151.426592978258 -33.3941910012926,151.426036098241 -33.3941105615338,151.424549708042 -33.3972928012641,151.427819997885 -33.400278151711,151.429447788299 -33.4017639017621,151.429568428448 -33.4018507216814,151.42947227817 -33.4019518218678,151.429226058035 -33.4022154312893,151.429138157885 -33.4023851112266,151.429217038052 -33.4024051517642,151.43086508817 -33.403155841793,151.432701797973 -33.4039893212814,151.432639277924 -33.4042772916647,151.437315618036 -33.4049306417283,151.439235227966 -33.4051987415824,151.439376998288 -33.4050380016054,151.439852987709 -33.4051070018332,151.441586198117 -33.4045532414198,151.440904808007 -33.4036575115875,151.443942998333 -33.4040759912424,151.444159008125 -33.4030190013255,151.444323988218 -33.4021990016576,151.446047008137 -33.4024689915288,151.447382068143 -33.3959886513265,151.447429697717 -33.3957566614844,151.446079418454 -33.3954206016242,151.445579768307 -33.3916827318512,151.445008067884 -33.3911807919148,151.442540848549 -33.3912016615723,151.440928938553 -33.3906359514512,151.44094167846 -33.389850271719,151.440723408507 -33.3899712815132,151.440231348225 -33.3901713815418,151.438646188262 -33.3899623612497,151.437861808102 -33.3897940018861,151.437844688009 -33.389696801293,151.437854688055 -33.3889414016785,151.437870528048 -33.3883676114855,151.437861367927 -33.3882723016933,151.437739828564 -33.3872691513544,151.437511847823 -33.3871171615057,151.436478497785 -33.3864940014729,151.435581867741 -33.3847005018372,151.435429917711 -33.3846093112662,151.435034808106 -33.3843509215853,151.434852458188 -33.3842749312692,151.434670098389 -33.3842901318881,151.433770707821 -33.3844818514811,151.433362088453 -33.3845258817824,151.43306570819 -33.3844674414913,151.432506708148 -33.3839207317195))",10201103112,New South Wales,Erina - Green Point,3.429,Suburb 62,-33.39635339,151.4367542
63,"POLYGON ((151.411702727789 -33.4077880619349,151.416158398548 -33.4084134719189,151.416165838395 -33.4085468514291,151.416013707803 -33.408683421481,151.417624308056 -33.4100645912517,151.418938997864 -33.4111896914907,151.418585498223 -33.4113381014067,151.417968097807 -33.4117368813598,151.417368697832 -33.4119925014002,151.416678448537 -33.4156056015333,151.416678957882 -33.4156863513137,151.421138278496 -33.4163746814319,151.421111628176 -33.4164702513301,151.424021008175 -33.4176990115048,151.425976748346 -33.4162868112894,151.430160998532 -33.4168520012541,151.430314008574 -33.4160800012935,151.434062888461 -33.4166237314567,151.435172997743 -33.4167790018625,151.435530878467 -33.4149679619133,151.437304968508 -33.4152057618446,151.437738878147 -33.4132894818358,151.438379377842 -33.4133869514772,151.439389697771 -33.4146953512419,151.440852618584 -33.4150347715076,151.441177318237 -33.4145132114087,151.441780007843 -33.4145710113863,151.442283997751 -33.4121390015716,151.442850988308 -33.4094000016734,151.443132008278 -33.4080420115994,151.4435429983 -33.4060360012385,151.443586828001 -33.4058187716321,151.443942998333 -33.4040759912424,151.440904808007 -33.4036575115875,151.441586198117 -33.4045532414198,151.439852987709 -33.4051070018332,151.439376998288 -33.4050380016054,151.439235227966 -33.4051987415824,151.437315618036 -33.4049306417283,151.432639277924 -33.4042772916647,151.432701797973 -33.4039893212814,151.43086508817 -33.403155841793,151.429217038052 -33.4024051517642,151.429138157885 -33.4023851112266,151.429226058035 -33.4022154312893,151.42947227817 -33.4019518218678,151.429568428448 -33.4018507216814,151.429447788299 -33.4017639017621,151.427819997885 -33.400278151711,151.424549708042 -33.3972928012641,151.423723018131 -33.3990629916826,151.420402028272 -33.4005480118096,151.42028000831 -33.4006040114473,151.416872988593 -33.4021480013851,151.414699998057 -33.403150001343,151.414488008227 -33.4042150018141,151.414478008181 -33.4042680114082,151.414254997818 -33.4053909917388,151.413170027889 -33.4052350013065,151.412419008464 -33.4061250013584,151.412052988105 -33.4065600119227,151.411958998275 -33.4065460015404,151.411702727789 -33.4077880619349))",10201103113,New South Wales,Erina - Green Point,4.606,Suburb 63,-33.40869959,151.4279775
64,"POLYGON ((151.410859618471 -33.3840252116869,151.410876337915 -33.3841183816175,151.410588828515 -33.3843195715,151.410173748463 -33.3845536516144,151.409643478341 -33.3848245416526,151.40940049843 -33.3850034816031,151.409214378282 -33.3851830212528,151.40913480821 -33.3853238817482,151.409045168022 -33.3854030815009,151.408890368536 -33.3857457912939,151.408770508124 -33.3860507116166,151.408684437842 -33.3863943219458,151.408608117874 -33.3868147216556,151.408612098309 -33.387236191928,151.408589058318 -33.3877356914367,151.4085148979 -33.3880834519356,151.40850478826 -33.3885858312881,151.40853288846 -33.3892993415192,151.408481058363 -33.3894477715769,151.408332728543 -33.3897224618461,151.408054807761 -33.3899815518533,151.40781504831 -33.3902150916942,151.407449968487 -33.3904601612569,151.407129938277 -33.390824131882,151.406890898377 -33.3910182716767,151.406729648088 -33.3912659513362,151.406647188135 -33.3914883415305,151.406628138461 -33.3916721219492,151.406593937802 -33.3918425717506,151.406385488231 -33.3920897112936,151.406052127921 -33.3923088712814,151.405690337729 -33.3923699718811,151.405423567734 -33.3923928415624,151.405107837759 -33.3924939017509,151.404617128543 -33.3927505016842,151.404395028174 -33.3928922514393,151.404141608043 -33.3930336214549,151.40401451799 -33.3931240014221,151.403871988592 -33.3931880115085,151.403679707798 -33.3934219717421,151.403422337775 -33.3937867617265,151.403291998515 -33.3940480116424,151.403210277875 -33.3942310013922,151.403175018102 -33.3944408619247,151.403195528437 -33.3946240113481,151.403211698112 -33.3947512717624,151.403294847971 -33.394956491538,151.403364858173 -33.3951854917735,151.403393868367 -33.3954024914661,151.403370508576 -33.395559801542,151.403354848246 -33.3956654915112,151.403302838486 -33.3959184918701,151.403159178109 -33.3960877018598,151.402959378416 -33.3962365515691,151.402678547991 -33.3963293416679,151.40248100846 -33.3963540012789,151.402179988398 -33.3963880117308,151.401969717943 -33.3964716315768,151.401638518081 -33.3966187714109,151.4013949884 -33.3967400012772,151.401206867705 -33.3968747419295,151.401087727742 -33.3971073017729,151.400886507814 -33.397338681276,151.400571147945 -33.3975136618318,151.40033889841 -33.3976345214611,151.400157998373 -33.3977129915203,151.400112008223 -33.3976969915238,151.399878007872 -33.3978110118719,151.399372998375 -33.3980380014064,151.399198018236 -33.3981870015195,151.398935977871 -33.398430001936,151.398650008183 -33.3987010114751,151.398464988472 -33.3989060014338,151.398317017979 -33.3990390018091,151.398207698399 -33.3991492218291,151.398085968593 -33.3992415213419,151.397575007757 -33.3996100014509,151.397290998194 -33.3999339917998,151.396878988584 -33.4003560014213,151.396648558137 -33.4005994712416,151.396459018104 -33.400783531624,151.39654157777 -33.4008347914299,151.39676247799 -33.402270601922,151.397123358189 -33.4027205712048,151.397772218505 -33.403176431851,151.398017018403 -33.4033565316563,151.397677017746 -33.4040085312854,151.397807988521 -33.4047545212384,151.397609027856 -33.4047815316928,151.396727988073 -33.4051739314994,151.39606302815 -33.406271541422,151.395604188466 -33.405787081333,151.395192727726 -33.4055637813444,151.3951790383 -33.405408551631,151.39500605781 -33.4050505416515,151.395041798182 -33.4047637714463,151.39464605796 -33.4044365414616,151.394021068576 -33.4045095414782,151.393489088061 -33.404789541538,151.39270509777 -33.4049635711974,151.392510007945 -33.4047500014972,151.39241999855 -33.4047300117448,151.392067008254 -33.4049839913465,151.391818007834 -33.4051299918982,151.391569008312 -33.4052950016977,151.391254007769 -33.405492001566,151.390681218588 -33.4058379414866,151.390368008388 -33.4059649912529,151.390015018092 -33.4062650112711,151.388996007861 -33.4072059913551,151.397966868156 -33.4084284913437,151.398452498297 -33.406066351368,151.401234608579 -33.4064735019189,151.401432948509 -33.4054855118516,151.403259697792 -33.4057501919175,151.403219287978 -33.4059478319225,151.403097817785 -33.4066440216762,151.403253487739 -33.4066774514283,151.40453650834 -33.4069626615311,151.406893418151 -33.4073045814152,151.407030038431 -33.4073199114876,151.407169868391 -33.4073356217532,151.41094276833 -33.4078652817586,151.411033508055 -33.4077081416884,151.411314987963 -33.4077340016434,151.411702727789 -33.4077880619349,151.411958998275 -33.4065460015404,151.412052988105 -33.4065600119227,151.412419008464 -33.4061250013584,151.413170027889 -33.4052350013065,151.414254997818 -33.4053909917388,151.414478008181 -33.4042680114082,151.414488008227 -33.4042150018141,151.414699998057 -33.403150001343,151.416872988593 -33.4021480013851,151.42028000831 -33.4006040114473,151.420402028272 -33.4005480118096,151.423723018131 -33.3990629916826,151.424549708042 -33.3972928012641,151.426036098241 -33.3941105615338,151.426592978258 -33.3941910012926,151.426670028557 -33.3942030118995,151.430218018196 -33.3947060016364,151.430257977955 -33.3945180118607,151.431011997753 -33.3908031316277,151.431663007738 -33.3877710013684,151.432506708148 -33.3839207317195,151.431464338126 -33.3833208318991,151.43120526849 -33.3831806214971,151.42968562805 -33.3826486514756,151.428454738481 -33.3823902814717,151.427649327862 -33.3827550614925,151.427011088327 -33.3831350513051,151.425954928268 -33.383431441651,151.42522546841 -33.3834922319487,151.424420057791 -33.3831274617715,151.424116128085 -33.3839786113071,151.423827378112 -33.3841002113473,151.422794057719 -33.3843434116676,151.422576668115 -33.384357641656,151.422289118291 -33.384359451627,151.421912618186 -33.3843586017732,151.421031218178 -33.3842066315893,151.42004345854 -33.3837050512876,151.418265428488 -33.3836746813468,151.41775533812 -33.3838626413165,151.417378048396 -33.3840084515751,151.416046377734 -33.3832488612249,151.415780178169 -33.3832305812582,151.415499717849 -33.3832339117079,151.415134967708 -33.38324912151,151.414101588026 -33.383066731227,151.413680007764 -33.3832467916958,151.413483678264 -33.3833378516781,151.412977058088 -33.3835531114655,151.412445178185 -33.3839026919247,151.410859618471 -33.3840252116869))",10201103114,New South Wales,Erina - Green Point,6.647,Suburb 64,-33.39505814,151.4138177
160,"POLYGON ((151.329243388148 -33.3968222018148,151.329402018051 -33.3968304516386,151.329737898135 -33.3970588911996,151.3296270083 -33.3972732717838,151.330104717995 -33.3975202218896,151.330190278034 -33.3975514217187,151.330012918258 -33.3977968013352,151.329887977873 -33.3980025419008,151.329812028011 -33.3982956514303,151.329725267823 -33.3988112716721,151.329649707829 -33.3994119218001,151.330865048459 -33.3995801417899,151.331095877757 -33.3996120915893,151.332790537863 -33.3998466412451,151.334081497774 -33.40002524129,151.335032038414 -33.4001566815452,151.337487468259 -33.4004938217708,151.337512798055 -33.4003591812242,151.337783188261 -33.3989826314298,151.338418908021 -33.3990710118046,151.338701198209 -33.3976356119277,151.33872335785 -33.3975380616144,151.339477298597 -33.3976426212125,151.339820578105 -33.3959493015286,151.339911138167 -33.3955026016609,151.339964608587 -33.3952267019119,151.340173898082 -33.3941465618826,151.340191928168 -33.3940598917676,151.339300927866 -33.3939350716201,151.338791278571 -33.3938648317548,151.337714857908 -33.3937164414902,151.336868748217 -33.3935998214791,151.33472714841 -33.3933013717596,151.334314997764 -33.3932477614634,151.333561118103 -33.393151501502,151.33259160774 -33.3930003214564,151.330254078183 -33.3926777917965,151.329713768489 -33.3953385617603,151.329638208495 -33.3955151018335,151.328923217801 -33.3954211618713,151.328791117844 -33.3955687512309,151.328959928353 -33.3959202018514,151.329001538317 -33.3960308615718,151.329355008314 -33.3962761014839,151.329306568459 -33.3963275514459,151.329134507844 -33.3965055512343,151.329252587795 -33.3967147215383,151.329243388148 -33.3968222018148))",10201103501,New South Wales,Narara,0.782,Suburb 160,-33.39651756,151.3344504
161,"POLYGON ((151.349953597866 -33.3850973818185,151.349843878535 -33.3856702012395,151.349824467739 -33.3857911515956,151.349787017873 -33.3859183214312,151.349721858574 -33.3860322612215,151.349656308507 -33.3861286513292,151.349558418192 -33.3862602416142,151.34950380781 -33.3863165512383,151.349173558365 -33.3866572314867,151.348242228198 -33.3876442617788,151.347898107867 -33.3880090415082,151.347343737742 -33.3885961917985,151.346423498175 -33.3895714213453,151.346227317795 -33.3898055015702,151.346152778288 -33.3899073815645,151.346099858535 -33.3900277214911,151.346057048421 -33.3901605516932,151.346035468193 -33.3902814312985,151.346029308445 -33.3903997816027,151.34603937856 -33.3905331617643,151.346112117843 -33.3906303614222,151.346263338442 -33.3907785814471,151.346482928019 -33.3909494117682,151.346585528201 -33.3910311317605,151.346676267927 -33.3911275118254,151.346756168579 -33.3912716118273,151.346787118236 -33.3914100316079,151.346780658451 -33.3914908518811,151.346776457928 -33.3915014213036,151.346973597709 -33.3914835615889,151.347002398595 -33.3914529618559,151.347343598503 -33.3914930517191,151.347639208012 -33.3916872312713,151.348179338043 -33.3920862619292,151.348388408349 -33.3919183514448,151.348994268109 -33.3913737616145,151.349581777983 -33.3908015415514,151.350142007818 -33.3901990018125,151.350394998555 -33.3898980015176,151.35051759793 -33.3897539817435,151.350671007723 -33.389573991755,151.350719807803 -33.3895087114275,151.351160988405 -33.3889290115682,151.351325998143 -33.3886910114503,151.351486997801 -33.3884490113807,151.351643008217 -33.3882039916525,151.351783997902 -33.3879730018644,151.351942007967 -33.3877049913761,151.352220977982 -33.3871620012951,151.352463008374 -33.3865969917048,151.352695008178 -33.3860270114315,151.352906998009 -33.3855490016883,151.352914148598 -33.3855235514263,151.352598027856 -33.3854410019161,151.352040777733 -33.3853684614338,151.351676617785 -33.3853211214418,151.351388378054 -33.385283601519,151.349953597866 -33.3850973818185))",10201103502,New South Wales,Narara,0.278,Suburb 161,-33.38853881,151.3494549
164,"POLYGON ((151.329243388148 -33.3968222018148,151.329212618155 -33.3971773312729,151.328716188467 -33.3975179712056,151.328665448027 -33.397552991422,151.328615367848 -33.3975890615927,151.327998007856 -33.3977670917963,151.327931397777 -33.3979435811878,151.32801289833 -33.3982285312225,151.325291718078 -33.3978543011962,151.324785498551 -33.4004414518336,151.324504118356 -33.4018794714003,151.324705268216 -33.4019386514249,151.325955728481 -33.4017016116095,151.32615734816 -33.4017010814006,151.328909047776 -33.4020734417616,151.329342418425 -33.4021354016749,151.330354268185 -33.4022800713759,151.333584848 -33.402742021539,151.333759648476 -33.4027661618767,151.335120398502 -33.4029542118025,151.336460498056 -33.4031398218006,151.337614918536 -33.4032911911877,151.338218198335 -33.403355011553,151.338236117929 -33.4032340818876,151.338136218082 -33.4027582418369,151.338549028091 -33.4007327915034,151.338572208219 -33.4006347714478,151.337487468259 -33.4004938217708,151.335032038414 -33.4001566815452,151.334081497774 -33.40002524129,151.332790537863 -33.3998466412451,151.331095877757 -33.3996120915893,151.330865048459 -33.3995801417899,151.329649707829 -33.3994119218001,151.329725267823 -33.3988112716721,151.329812028011 -33.3982956514303,151.329887977873 -33.3980025419008,151.330012918258 -33.3977968013352,151.330190278034 -33.3975514217187,151.330104717995 -33.3975202218896,151.3296270083 -33.3972732717838,151.329737898135 -33.3970588911996,151.329402018051 -33.3968304516386,151.329243388148 -33.3968222018148))",10201103505,New South Wales,Narara,0.543,Suburb 164,-33.40072869,151.3310518
165,"POLYGON ((151.333584848 -33.402742021539,151.333429318183 -33.4035423117781,151.332475688237 -33.4034117113134,151.331403968459 -33.403245121587,151.331228298413 -33.4032287318962,151.331116318023 -33.4032253317193,151.330968748178 -33.403238461471,151.330809938612 -33.4033015514451,151.330660177776 -33.4033795814287,151.330536368371 -33.4034641814504,151.330425847743 -33.403574791818,151.330334737912 -33.4036593916495,151.330308788278 -33.4037207017471,151.330275578461 -33.4037990515719,151.330157648528 -33.4044687714445,151.330115158216 -33.4046967312265,151.330085268571 -33.4048885115475,151.330066907905 -33.4050059713106,151.329994198266 -33.4053820813069,151.32995601807 -33.4055959216699,151.329963248609 -33.4056748614806,151.329991318267 -33.4057570213199,151.330029857789 -33.4058295515355,151.330086028546 -33.4058953617857,151.330170238417 -33.4059512514904,151.330282548489 -33.4060006417345,151.330405297883 -33.4060334118183,151.330592908335 -33.4060620214208,151.331529238525 -33.4061906419067,151.332174378019 -33.4062728117568,151.332249608331 -33.4062817115986,151.332091557842 -33.4070776715808,151.332886528241 -33.4071866418278,151.3347816483 -33.4074468413535,151.334795368269 -33.4073614518233,151.335115178392 -33.4056680913144,151.33452077844 -33.4055855811838,151.334680688442 -33.4047365217633,151.334764888432 -33.4042905614923,151.334858917788 -33.4038252614049,151.33495501776 -33.4036754115461,151.335009698211 -33.4033576213011,151.335040688292 -33.4033617714005,151.335101497949 -33.4030736614955,151.335120398502 -33.4029542118025,151.333759648476 -33.4027661618767,151.333584848 -33.402742021539))",10201103506,New South Wales,Narara,0.207,Suburb 165,-33.40507297,151.3327453
166,"POLYGON ((151.335120398502 -33.4029542118025,151.335101497949 -33.4030736614955,151.335040688292 -33.4033617714005,151.335009698211 -33.4033576213011,151.33495501776 -33.4036754115461,151.334858917788 -33.4038252614049,151.334764888432 -33.4042905614923,151.334680688442 -33.4047365217633,151.33452077844 -33.4055855811838,151.335115178392 -33.4056680913144,151.334795368269 -33.4073614518233,151.3347816483 -33.4074468413535,151.336641538231 -33.4076941517383,151.336731258368 -33.407331511588,151.336789988425 -33.4071253311766,151.336919337741 -33.4067152613256,151.336999938181 -33.4064071611766,151.33702496794 -33.4063033215327,151.337096768484 -33.4059919113424,151.33715428851 -33.4057839512226,151.337195468181 -33.4056795619014,151.337243498404 -33.4055839516329,151.337335547873 -33.4054425315423,151.337491878089 -33.4052718017013,151.337676207893 -33.4051235613998,151.337856587806 -33.4050191817839,151.338058648558 -33.4049295918486,151.338411238205 -33.40480800145,151.33889898837 -33.4046584914985,151.340594748013 -33.4041402617337,151.340884187893 -33.4040525914414,151.341352888384 -33.4039082014133,151.341310838245 -33.4038628813131,151.34126455794 -33.4038186215813,151.341214118435 -33.4037807211823,151.34110811813 -33.4037395016019,151.340942518199 -33.4037200613116,151.339316408533 -33.4035069317611,151.338738578006 -33.4034287916525,151.338218198335 -33.403355011553,151.337614918536 -33.4032911911877,151.336460498056 -33.4031398218006,151.335120398502 -33.4029542118025))",10201103507,New South Wales,Narara,0.178,Suburb 166,-33.40492176,151.336834
167,"POLYGON ((151.333584848 -33.402742021539,151.330354268185 -33.4022800713759,151.329342418425 -33.4021354016749,151.328909047776 -33.4020734417616,151.32615734816 -33.4017010814006,151.325955728481 -33.4017016116095,151.324705268216 -33.4019386514249,151.324102698086 -33.4021467617375,151.323398207799 -33.4022779115576,151.322574697924 -33.4022103414635,151.322070698134 -33.4024772618147,151.322208018201 -33.402521991689,151.322043988525 -33.4033960115872,151.321738988029 -33.4048339912536,151.320560008507 -33.4048630017055,151.320071997831 -33.404605001446,151.320280008125 -33.4043830017779,151.318919988429 -33.4035020017453,151.318251998489 -33.4034060013679,151.317096007753 -33.4032380017647,151.31706202808 -33.4034090018266,151.316866018379 -33.4043680019014,151.316804998517 -33.4046709918538,151.316084997919 -33.4082100116614,151.317949998365 -33.4084910016384,151.321988978392 -33.409005001629,151.324442288213 -33.4093099813279,151.327252978397 -33.4097219915986,151.329093998316 -33.4099860116184,151.329994018603 -33.4101160015546,151.330990028369 -33.4102579914354,151.33125001788 -33.4102960112369,151.331627498047 -33.4103498112297,151.332267928573 -33.4104416211788,151.335100988604 -33.4108479916117,151.335364008132 -33.4109022014375,151.335462768016 -33.4107502214251,151.335573948008 -33.4105593816282,151.335740138132 -33.410217591535,151.335917558095 -33.409821211695,151.336067428526 -33.4094754616078,151.336172367921 -33.4092252115277,151.336338478095 -33.4087732415078,151.336542478309 -33.4081085513131,151.336568618386 -33.4080046717092,151.336641538231 -33.4076941517383,151.3347816483 -33.4074468413535,151.332886528241 -33.4071866418278,151.332091557842 -33.4070776715808,151.332249608331 -33.4062817115986,151.332174378019 -33.4062728117568,151.331529238525 -33.4061906419067,151.330592908335 -33.4060620214208,151.330405297883 -33.4060334118183,151.330282548489 -33.4060006417345,151.330170238417 -33.4059512514904,151.330086028546 -33.4058953617857,151.330029857789 -33.4058295515355,151.329991318267 -33.4057570213199,151.329963248609 -33.4056748614806,151.32995601807 -33.4055959216699,151.329994198266 -33.4053820813069,151.330066907905 -33.4050059713106,151.330085268571 -33.4048885115475,151.330115158216 -33.4046967312265,151.330157648528 -33.4044687714445,151.330275578461 -33.4037990515719,151.330308788278 -33.4037207017471,151.330334737912 -33.4036593916495,151.330425847743 -33.403574791818,151.330536368371 -33.4034641814504,151.330660177776 -33.4033795814287,151.330809938612 -33.4033015514451,151.330968748178 -33.403238461471,151.331116318023 -33.4032253317193,151.331228298413 -33.4032287318962,151.331403968459 -33.403245121587,151.332475688237 -33.4034117113134,151.333429318183 -33.4035423117781,151.333584848 -33.402742021539))",10201103508,New South Wales,Narara,1.371,Suburb 167,-33.40646271,151.3259534
168,"POLYGON ((151.336641538231 -33.4076941517383,151.336568618386 -33.4080046717092,151.336542478309 -33.4081085513131,151.336338478095 -33.4087732415078,151.336172367921 -33.4092252115277,151.336067428526 -33.4094754616078,151.335917558095 -33.409821211695,151.335740138132 -33.410217591535,151.335573948008 -33.4105593816282,151.335462768016 -33.4107502214251,151.335364008132 -33.4109022014375,151.335758018199 -33.4109810111993,151.338440008549 -33.4113610013393,151.339233008044 -33.4114730016364,151.339242018146 -33.4114550013038,151.339247018169 -33.4114430118279,151.339248008112 -33.4114370017173,151.339251988547 -33.4114239916823,151.339258008158 -33.411413001763,151.339280997843 -33.4113849915598,151.339303998307 -33.4113550114692,151.339311987923 -33.4113430017333,151.339336988038 -33.411314011442,151.339341007999 -33.4113099914482,151.33936301852 -33.4112990112626,151.339371008136 -33.4112900017055,151.339379008532 -33.4112650013982,151.339384008555 -33.4112590115215,151.33938797821 -33.4112520018354,151.339399007725 -33.4112400115817,151.339412988206 -33.4112220112008,151.339420977822 -33.4112090018835,151.339424997783 -33.4111970018756,151.339427988274 -33.4111920018094,151.339434997829 -33.411184011301,151.33944601836 -33.4111780011724,151.339459997943 -33.411167011222,151.339468978401 -33.4111560017738,151.339474008068 -33.4111470116983,151.339480987978 -33.4111370018116,151.33949200851 -33.4111140118367,151.339506028516 -33.4110899915468,151.339512008601 -33.4110780012708,151.339522007749 -33.4110490018926,151.33952299859 -33.4110440018179,151.339527007772 -33.4110339919193,151.339532007794 -33.4110260013964,151.339539018247 -33.411016991811,151.339545988275 -33.4110030113921,151.339552997829 -33.4109940018043,151.339566027893 -33.4109860015295,151.33959402838 -33.4109630115146,151.339607018019 -33.4109429916976,151.339611988397 -33.4109270113842,151.339620018438 -33.4109110115714,151.339624978036 -33.4109029917925,151.339630998545 -33.4108960015742,151.339654027756 -33.4108760012382,151.339670017768 -33.4108570012147,151.339678998226 -33.4108440015908,151.339692977808 -33.4108180113357,151.339701007849 -33.410805001208,151.339722028426 -33.4107610112146,151.339743018461 -33.410733001551,151.33975801853 -33.4107170017025,151.339764988558 -33.4107080018333,151.339774008542 -33.4106940018682,151.339781998158 -33.4106800019009,151.339793968209 -33.4106500118186,151.339800977764 -33.4106360013461,151.339815977832 -33.4105970016197,151.339828978251 -33.4105570113035,151.339846018394 -33.410500011761,151.33985200836 -33.410475001478,151.339872008451 -33.4104140013429,151.33987488845 -33.4104097316018,151.339876977932 -33.4104039913717,151.339878028062 -33.4104000013305,151.339878028062 -33.4103940016458,151.339880988011 -33.4103820015254,151.339882998441 -33.4103679917595,151.339892008543 -33.4103380015695,151.339905008063 -33.4103109913431,151.339919018188 -33.410271001645,151.339934018257 -33.4102420117458,151.339956978297 -33.410176001574,151.339973007835 -33.4101459918212,151.339983007881 -33.4101340014148,151.33999143857 -33.4101206717403,151.339995998418 -33.4101069918748,151.340002018029 -33.4100940116353,151.340007018052 -33.4100880014313,151.340025198157 -33.4100706614469,151.340041958025 -33.4100228917365,151.340062577954 -33.4099998812202,151.340068018151 -33.4099890013517,151.340078998259 -33.4099710014614,151.340086007813 -33.4099510016623,151.340096997802 -33.4099270117955,151.340098998351 -33.40992100158,151.340103018311 -33.4099150018623,151.340106007905 -33.4099120016283,151.340112977933 -33.4099010017694,151.340136017923 -33.4098720117466,151.340144008438 -33.4098580018984,151.34017002814 -33.4098170116628,151.340174998519 -33.4098110014397,151.340194007768 -33.4097830012181,151.340204018594 -33.4097720013429,151.340221967832 -33.409744011607,151.340229997872 -33.4097350018885,151.340246028308 -33.4097209912684,151.340260987953 -33.409711001464,151.340276977965 -33.4097019917421,151.340287018434 -33.4096930015161,151.340319028103 -33.4096510116215,151.340324978543 -33.4096400012313,151.340331978216 -33.409620001356,151.340336978239 -33.409600001476,151.340335998177 -33.4095909917427,151.340336978239 -33.4095820015052,151.340351988189 -33.4095549917935,151.340355998269 -33.4095500013811,151.340368997789 -33.4095280015701,151.340385998406 -33.409508001669,151.340390998429 -33.4095040115866,151.340398997926 -33.4094950018433,151.34042600847 -33.4094700017692,151.340438998109 -33.4094590018543,151.340443998132 -33.4094560016046,151.340458018139 -33.4094450114363,151.340490027807 -33.4094249912694,151.340504008288 -33.409418001682,151.340531997996 -33.4094059916784,151.340544008471 -33.4093980017556,151.340548977951 -33.4093930113341,151.340560988426 -33.4093849914151,151.340579018513 -33.4093710114834,151.340594997745 -33.4093610013921,151.340607998164 -33.4093560117184,151.34062602825 -33.4093440017062,151.340632008335 -33.4093380011987,151.340646028341 -33.4093280016018,151.340666028433 -33.4093170114173,151.340710008152 -33.4092980118026,151.340727017752 -33.4092880017028,151.340783007947 -33.4092480017854,151.340801008389 -33.4092320016633,151.340822028068 -33.4092160015383,151.340831008526 -33.409211001358,151.340836998492 -33.4092060116757,151.340850028556 -33.4091980014879,151.340856007742 -33.4091930013065,151.340878018263 -33.409183991531,151.340899998242 -33.4091770011743,151.340951018058 -33.4091639915507,151.340980988551 -33.4091550012689,151.341006028191 -33.4091500115834,151.341030007819 -33.4091490112467,151.341042018295 -33.4091469918262,151.341058988369 -33.4091420013904,151.341136008125 -33.4091269918374,151.341214007942 -33.4091060012551,151.341239008057 -33.4091020014058,151.341254998069 -33.4090980015563,151.341272987731 -33.4090899913584,151.341280978245 -33.4090850016692,151.341299018213 -33.4090760113793,151.341311017908 -33.4090719912819,151.341360878 -33.4090600217238,151.341376978505 -33.4090570117119,151.341394017749 -33.4090549915394,151.341402018145 -33.4090529916136,151.341428008203 -33.4090450016583,151.341453008317 -33.4090349915294,151.341465997956 -33.4090310014252,151.341485998048 -33.4090270015724,151.341496988037 -33.4090260012343,151.341526008112 -33.4090200112031,151.341573968267 -33.409002011862,151.341596998376 -33.4089910013895,151.341632988479 -33.4089780014864,151.341674018131 -33.4089599916382,151.341698028302 -33.4089510013353,151.341715008258 -33.4089460116381,151.341729168402 -33.408943071361,151.341743987909 -33.4089400013547,151.341752998011 -33.4089360014977,151.341768988023 -33.4089239914275,151.341772998103 -33.408922991838,151.341782018087 -33.4089210016576,151.341800007748 -33.4089210016576,151.341814027755 -33.4089190017287,151.341840997875 -33.4089170017997,151.341838008282 -33.4087488913729,151.341875498572 -33.4085323711906,151.341879148427 -33.4084367213185,151.341599878374 -33.408396721759,151.341033588504 -33.4083148313752,151.339990667816 -33.4072575915732,151.339883758415 -33.4071448111992,151.339594677862 -33.4068395411872,151.339042107961 -33.406272371564,151.338494538083 -33.4057103013573,151.337856587806 -33.4050191817839,151.337676207893 -33.4051235613998,151.337491878089 -33.4052718017013,151.337335547873 -33.4054425315423,151.337243498404 -33.4055839516329,151.337195468181 -33.4056795619014,151.33715428851 -33.4057839512226,151.337096768484 -33.4059919113424,151.33702496794 -33.4063033215327,151.336999938181 -33.4064071611766,151.336919337741 -33.4067152613256,151.336789988425 -33.4071253311766,151.336731258368 -33.407331511588,151.336641538231 -33.4076941517383))",10201103509,New South Wales,Narara,0.264,Suburb 168,-33.40880438,151.3383688
